GOOGL,Alphabet Inc.,156,181,2024-06-26
GOOGL,Alphabet Inc.,245,267,2023-11-27
GOOGL,Alphabet Inc.,283,337,2023-12-20
GOOGL,Alphabet Inc.,142,385,2024-10-17
GOOGL,Alphabet Inc.,221,335,2024-05-25
GOOGL,Alphabet Inc.,157,214,2024-02-10
GOOGL,Alphabet Inc.,195,382,2023-12-26
GOOGL,Alphabet Inc.,157,236,2024-08-18
GOOGL,Alphabet Inc.,306,400,2024-05-17
GOOGL,Alphabet Inc.,266,383,2024-01-07
GOOGL,Alphabet Inc.,307,341,2024-06-27
GOOGL,Alphabet Inc.,164,177,2024-02-25
GOOGL,Alphabet Inc.,196,340,2024-01-29
GOOGL,Alphabet Inc.,52,109,2024-03-19
GOOGL,Alphabet Inc.,188,226,2024-08-30
GOOGL,Alphabet Inc.,258,321,2023-12-27
GOOGL,Alphabet Inc.,211,348,2024-09-12
GOOGL,Alphabet Inc.,74,133,2024-02-25
GOOGL,Alphabet Inc.,170,363,2024-08-20
GOOGL,Alphabet Inc.,135,185,2024-09-21
GOOGL,Alphabet Inc.,324,357,2024-04-01
GOOGL,Alphabet Inc.,104,379,2024-02-11
GOOGL,Alphabet Inc.,297,345,2024-05-13
GOOGL,Alphabet Inc.,329,370,2024-08-10
GOOGL,Alphabet Inc.,129,149,2024-06-03
GOOGL,Alphabet Inc.,173,394,2024-07-07
GOOGL,Alphabet Inc.,131,343,2024-09-30
GOOGL,Alphabet Inc.,304,353,2024-06-09
GOOGL,Alphabet Inc.,240,374,2024-08-02
GOOGL,Alphabet Inc.,180,311,2023-12-17
GOOGL,Alphabet Inc.,110,368,2024-03-31
GOOGL,Alphabet Inc.,116,187,2024-05-06
GOOGL,Alphabet Inc.,270,381,2024-04-28
GOOGL,Alphabet Inc.,172,222,2024-10-01
UBER,Uber Technologies,290,375,2024-05-10
UBER,Uber Technologies,292,375,2024-08-30
UBER,Uber Technologies,203,218,2024-06-21
UBER,Uber Technologies,263,349,2024-02-20
UBER,Uber Technologies,283,294,2024-04-08
UBER,Uber Technologies,286,333,2024-08-17
UBER,Uber Technologies,265,367,2023-11-19
UBER,Uber Technologies,167,273,2024-08-22
UBER,Uber Technologies,150,254,2024-01-28
UBER,Uber Technologies,329,347,2024-06-06
